T1: 1(0.65), 3(0.74), 5(0.83), 7(0.6), 9(0.61), 11(0.93), 13(0.76), 15(0.74), 17(0.8), 19(0.5), 21(0.58), 23(0.58), 25(0.86), 27(0.75), 29(0.85), 31(0.53), 34(0.68), 36(0.7), 38(0.62), 40(0.86), 42(0.65), 44(0.58), 46(0.67), 48(0.74), 50(0.66), 52(0.67), 54(0.89), 56(0.51), 58(0.86), 60(0.88), 62(0.93), 64(0.55), 66(0.78), 68(0.74), 70(0.74), 72(0.91), 74(0.69)
T3129: 2(0.86), 3(0.86), 5(0.87), 7(0.83), 9(0.7), 12(0.54), 14(0.81), 16(0.52), 18(0.67), 20(0.58), 21(0.56), 23(0.91), 25(0.94), 27(0.96), 29(0.89), 31(0.94), 34(0.71), 36(0.57), 38(0.84), 40(0.68), 42(0.89), 44(0.55), 46(0.79), 48(0.53), 50(0.76), 52(0.99), 55(0.57), 56(0.99), 58(0.65), 60(0.66), 62(0.76), 64(0.98), 66(0.56), 69(0.88), 71(0.58), 72(0.76), 75(0.94)
T3130: 2(0.76), 3(0.52), 5(0.56), 7(0.57), 9(0.98), 12(0.64), 14(0.91), 16(0.7), 18(0.61), 20(0.83), 21(0.5), 23(0.99), 25(0.61), 27(0.88), 29(0.8), 31(0.62), 34(0.96), 36(0.58), 38(0.67), 40(0.65), 42(0.72), 44(0.92), 46(0.72), 48(0.74), 50(0.61), 52(0.72), 55(0.79), 57(0.86), 58(0.89), 60(0.76), 62(0.96), 64(0.71), 66(0.95), 69(0.52), 71(0.93), 72(0.68), 75(0.65)
T3131: 2(0.89), 3(0.54), 5(0.91), 7(0.75), 9(0.82), 11(0.97), 14(0.79), 16(0.54), 18(0.51), 20(0.92), 21(0.93), 23(0.79), 25(0.62), 27(0.84), 29(0.82), 31(0.72), 35(0.91), 36(0.68), 38(0.56), 40(0.57), 42(0.72), 44(0.52), 46(0.99), 48(0.66), 50(0.77), 52(0.54), 55(0.98), 56(0.92), 58(0.64), 60(0.99), 62(0.65), 64(0.53), 66(0.77), 69(0.52), 71(0.54), 72(0.79), 75(0.79)
T3132: 2(0.63), 3(0.87), 5(0.98), 7(0.74), 9(0.97), 12(0.66), 14(0.58), 16(0.79), 18(0.7), 20(0.91), 21(0.82), 23(0.69), 25(0.87), 27(0.82), 29(0.84), 31(0.68), 35(0.61), 36(0.95), 38(0.97), 40(0.81), 42(0.92), 44(0.57), 46(0.52), 48(0.75), 50(0.79), 52(0.71), 55(0.86), 56(0.7), 58(0.64), 60(0.74), 62(0.91), 64(0.88), 66(0.67), 69(1.0), 71(0.58), 72(0.95), 75(0.72)
T3133: 2(0.97), 3(0.5), 5(0.91), 7(0.86), 9(0.62), 12(0.58), 14(0.98), 16(1.0), 18(0.57), 20(0.89), 21(0.7), 23(0.75), 25(0.52), 27(0.91), 29(0.99), 31(0.66), 34(0.61), 36(0.62), 38(0.63), 40(0.78), 42(0.68), 44(0.75), 47(0.73), 48(0.8), 50(0.75), 52(0.74), 55(0.9), 56(0.66), 58(0.98), 60(0.86), 62(0.61), 64(0.61), 66(0.84), 69(0.88), 70(0.74), 72(0.59), 75(0.79)
T3134: 2(0.84), 3(0.78), 5(0.58), 7(0.81), 10(0.74), 12(0.59), 14(0.88), 16(0.82), 18(0.8), 20(0.73), 21(0.86), 23(0.62), 25(0.64), 27(0.55), 29(0.64), 31(0.58), 34(0.89), 36(0.89), 38(0.74), 40(0.6), 42(0.74), 44(0.93), 47(0.6), 48(0.79), 50(0.69), 52(0.64), 55(0.78), 56(0.78), 58(0.78), 60(0.59), 62(0.68), 64(0.55), 66(0.57), 69(0.75), 70(0.77), 72(0.67), 75(0.78)
T3135: 2(0.5), 3(0.89), 5(0.52), 7(0.72), 9(0.55), 11(0.71), 14(0.77), 16(0.75), 18(0.91), 20(0.66), 21(0.84), 23(0.84), 25(0.61), 27(0.83), 29(0.85), 31(0.64), 34(0.5), 36(0.7), 39(0.88), 40(0.91), 42(0.83), 44(0.65), 46(0.59), 48(0.79), 51(0.55), 52(0.96), 55(0.64), 56(0.69), 58(0.7), 60(0.69), 62(0.69), 64(0.84), 66(0.68), 69(0.9), 71(0.68), 72(0.69), 75(0.67)
T3136: 2(0.67), 3(0.72), 5(0.65), 7(0.57), 9(0.87), 12(0.73), 14(0.51), 16(0.74), 18(0.58), 20(0.94), 21(0.53), 23(0.93), 25(0.71), 27(0.53), 29(0.53), 31(0.97), 34(0.66), 36(0.77), 39(0.86), 40(0.82), 42(0.95), 44(0.8), 46(0.6), 48(0.72), 51(0.98), 52(0.86), 55(0.82), 56(0.85), 58(0.63), 60(0.68), 62(0.94), 64(0.62), 66(0.77), 69(0.58), 71(0.54), 72(0.72), 75(0.69)
T3137: 2(0.78), 3(0.71), 5(0.78), 7(0.68), 10(0.72), 12(0.56), 14(0.76), 16(0.83), 18(0.91), 20(0.6), 21(0.54), 23(0.66), 25(0.55), 27(0.8), 29(0.74), 31(0.56), 34(0.9), 36(0.81), 39(0.92), 40(0.91), 42(0.57), 44(0.97), 46(0.77), 48(0.96), 51(0.87), 52(0.83), 55(0.55), 56(0.51), 58(0.99), 60(0.62), 62(0.96), 64(0.76), 66(0.93), 69(0.84), 71(0.7), 72(0.7), 75(0.59)
T3138: 2(0.8), 3(0.84), 5(0.9), 7(0.66), 9(0.69), 12(0.57), 14(0.83), 16(0.57), 18(0.89), 20(0.84), 21(0.99), 23(0.53), 25(0.7), 27(0.83), 29(0.71), 31(0.88), 34(0.8), 36(0.81), 39(0.57), 40(0.69), 42(0.92), 44(0.61), 46(0.94), 48(0.89), 50(0.83), 52(0.96), 55(0.85), 56(0.76), 58(0.73), 60(0.81), 62(0.94), 64(0.72), 66(0.7), 69(0.51), 71(0.54), 72(0.75), 75(0.99)
T3139: 2(0.59), 3(0.86), 5(0.65), 7(0.65), 9(0.61), 11(0.74), 13(0.84), 15(0.92), 17(0.84), 19(0.86), 21(0.8), 23(0.56), 26(0.75), 28(0.74), 29(0.55), 31(0.56), 34(1.0), 36(0.8), 38(0.85), 40(0.6), 42(0.76), 44(0.95), 46(0.87), 48(0.59), 51(0.87), 52(0.88), 54(0.96), 56(0.62), 58(0.96), 60(0.53), 63(0.8), 64(1.0), 66(0.75), 68(0.63), 70(0.7), 72(0.68), 75(0.86)
T3140: 2(0.72), 3(0.96), 5(0.86), 7(0.88), 9(0.72), 11(0.78), 13(0.95), 15(0.66), 17(0.76), 19(0.81), 21(0.77), 23(0.58), 26(0.86), 28(0.51), 29(0.82), 31(0.65), 34(0.97), 36(0.82), 38(0.55), 40(0.78), 42(0.74), 44(0.82), 46(0.65), 48(0.64), 50(0.78), 52(0.64), 54(0.95), 57(0.98), 58(0.63), 60(0.77), 62(0.67), 64(0.67), 66(0.52), 69(0.59), 70(0.82), 72(0.62), 75(0.58)
T3141: 2(0.69), 3(0.85), 5(0.91), 7(0.92), 9(0.8), 11(0.59), 13(0.7), 15(0.78), 17(0.73), 20(0.88), 21(0.78), 23(0.5), 26(0.8), 28(0.87), 29(0.85), 31(0.71), 34(0.63), 36(0.82), 38(0.86), 40(0.91), 42(0.94), 44(0.72), 47(0.88), 48(0.86), 50(0.7), 52(1.0), 54(1.0), 56(0.75), 58(0.59), 60(0.74), 62(0.88), 64(0.95), 66(0.6), 69(0.74), 70(0.79), 72(0.73), 75(0.58)
T3142: 2(0.66), 3(0.59), 5(0.71), 7(0.78), 9(0.84), 11(0.76), 14(0.82), 15(0.86), 17(0.77), 20(0.76), 21(0.76), 23(0.77), 26(0.67), 28(0.5), 29(0.98), 31(0.97), 34(0.98), 36(0.66), 38(0.52), 40(0.9), 42(0.99), 44(0.96), 47(0.57), 48(0.86), 50(0.62), 52(0.6), 54(0.51), 56(0.54), 58(0.71), 60(0.83), 62(0.65), 64(0.77), 66(0.83), 69(0.85), 70(0.96), 72(0.7), 75(0.76)
T3143: 2(0.5), 3(0.88), 5(0.72), 7(0.89), 9(0.62), 11(0.6), 13(0.54), 15(0.77), 17(0.79), 19(0.83), 21(0.52), 23(0.88), 26(0.75), 28(0.72), 29(0.77), 31(0.8), 34(0.61), 36(0.82), 38(0.75), 40(0.98), 42(0.97), 44(0.52), 46(0.99), 48(0.62), 50(0.61), 52(0.5), 55(0.94), 57(0.53), 58(0.64), 60(0.75), 62(0.75), 64(0.62), 66(0.62), 69(0.58), 70(0.83), 72(0.82), 75(0.64)
T3144: 2(0.75), 3(0.7), 5(0.96), 7(0.81), 9(0.56), 11(0.91), 13(0.93), 15(1.0), 17(0.8), 20(0.74), 21(0.85), 23(0.5), 26(0.76), 28(0.57), 29(0.52), 31(0.68), 34(0.57), 36(0.89), 38(0.86), 40(0.81), 42(0.54), 44(0.81), 47(0.61), 48(0.96), 50(0.69), 52(0.56), 55(0.85), 56(0.96), 58(0.99), 60(0.95), 62(0.82), 64(0.96), 66(0.76), 69(0.58), 70(0.67), 72(0.52), 75(0.6)
T3145: 2(0.63), 3(0.97), 5(0.51), 7(0.88), 9(0.91), 11(0.52), 13(0.72), 15(0.91), 17(0.82), 20(0.9), 21(0.79), 23(0.75), 26(0.87), 28(0.78), 29(0.88), 31(0.58), 34(0.85), 36(0.92), 38(0.53), 40(0.79), 42(0.8), 44(0.55), 47(0.81), 48(0.87), 50(0.87), 52(0.64), 55(0.56), 57(0.53), 58(0.81), 60(0.91), 62(0.51), 64(0.94), 66(0.6), 69(0.79), 70(0.63), 72(0.92), 75(0.87)
T3146: 2(0.83), 3(0.67), 5(0.62), 7(0.95), 9(0.58), 11(0.72), 13(0.61), 15(0.57), 17(0.68), 19(0.74), 21(0.76), 23(0.66), 26(0.97), 27(0.83), 29(0.65), 31(0.56), 34(0.77), 36(0.65), 39(0.68), 40(0.82), 42(0.95), 44(0.82), 46(0.75), 48(0.76), 50(0.8), 52(0.76), 54(0.51), 57(0.6), 58(0.8), 60(0.52), 63(0.97), 64(0.58), 66(0.84), 69(0.89), 71(0.65), 72(0.82), 75(0.85)
T3147: 2(0.87), 3(0.67), 5(0.56), 7(0.96), 9(0.69), 12(0.99), 13(0.93), 15(0.69), 17(0.76), 19(0.76), 21(0.8), 23(0.95), 26(0.58), 27(0.78), 29(0.92), 31(0.96), 34(0.75), 36(0.52), 38(0.97), 40(0.85), 42(0.67), 44(0.57), 46(0.76), 48(0.94), 51(0.87), 52(0.56), 55(0.91), 57(0.63), 58(0.57), 60(0.93), 63(0.72), 64(0.98), 66(0.91), 69(0.99), 70(0.91), 72(0.93), 75(0.95)
T3148: 2(0.97), 3(0.51), 5(0.89), 7(0.89), 9(0.9), 11(0.98), 13(0.97), 15(0.89), 17(0.76), 20(0.81), 21(0.54), 23(0.72), 26(0.5), 27(0.85), 29(0.76), 31(0.55), 34(0.9), 36(0.7), 38(0.66), 40(0.76), 42(0.61), 44(0.81), 47(0.92), 48(0.63), 51(0.92), 52(0.57), 55(0.92), 56(0.56), 58(0.55), 60(0.89), 62(0.66), 64(0.77), 66(0.81), 69(0.64), 70(0.78), 72(0.91), 75(0.7)
T3149: 2(0.74), 3(0.83), 5(0.7), 7(0.86), 9(0.88), 11(0.61), 13(0.97), 15(0.78), 17(0.87), 20(0.87), 21(0.89), 23(0.93), 26(0.83), 27(0.96), 29(0.59), 31(0.64), 34(0.6), 36(0.83), 38(0.95), 40(0.66), 42(0.7), 44(0.77), 47(0.68), 48(0.54), 50(0.82), 52(0.55), 55(0.69), 56(0.87), 58(0.73), 60(0.62), 62(0.6), 64(0.83), 66(0.78), 69(0.97), 70(0.74), 72(0.53), 75(0.65)
T3150: 2(0.54), 3(0.63), 6(0.79), 7(0.51), 9(0.78), 11(0.64), 13(0.64), 15(0.71), 17(0.67), 19(0.71), 21(0.92), 23(0.87), 26(0.71), 27(0.76), 29(0.82), 31(0.82), 35(0.71), 36(0.85), 39(0.93), 40(0.92), 42(0.94), 44(0.93), 46(0.64), 48(0.88), 51(0.53), 52(0.54), 55(0.77), 56(0.85), 58(0.67), 60(0.84), 62(0.65), 64(0.74), 66(0.74), 69(0.9), 70(0.95), 72(0.69), 75(0.53)
T3151: 2(0.68), 3(0.53), 5(0.6), 7(0.81), 9(0.61), 11(0.85), 13(0.5), 15(0.67), 17(0.58), 19(0.54), 21(0.5), 23(0.67), 26(0.61), 27(0.6), 29(0.98), 31(0.91), 34(0.93), 36(0.74), 39(0.92), 40(0.88), 42(0.85), 44(0.74), 46(0.78), 48(0.63), 50(0.88), 52(0.78), 55(0.5), 57(0.86), 58(0.88), 60(0.8), 62(0.94), 64(0.97), 66(0.89), 69(0.68), 71(0.6), 72(0.52), 75(0.76)
T3152: 2(0.5), 3(0.88), 5(0.68), 7(0.84), 9(0.71), 11(0.92), 14(0.6), 15(0.83), 17(0.59), 20(0.99), 21(0.67), 23(0.94), 26(0.65), 27(0.65), 29(0.88), 31(0.59), 34(0.76), 36(0.79), 38(0.65), 40(0.53), 42(0.68), 44(0.74), 47(0.61), 48(0.99), 50(0.86), 52(0.68), 55(0.66), 56(0.85), 58(0.99), 60(0.9), 62(0.69), 64(0.6), 66(0.64), 69(0.6), 70(0.81), 72(0.63), 75(0.55)
T3153: 2(0.6), 3(0.82), 5(0.75), 7(0.53), 9(0.96), 11(0.59), 14(0.81), 15(0.91), 17(0.63), 20(0.67), 21(0.83), 23(0.82), 26(0.75), 27(0.93), 29(1.0), 31(0.8), 34(0.6), 36(0.67), 39(0.53), 40(0.59), 42(0.52), 44(0.56), 47(0.66), 48(0.53), 50(0.69), 52(0.69), 55(0.58), 56(0.53), 58(0.97), 60(0.61), 62(0.53), 64(0.69), 66(0.91), 69(0.55), 71(0.55), 72(0.6), 75(0.91)
T3154: 2(0.83), 3(0.89), 5(0.6), 7(0.68), 9(0.68), 11(0.76), 13(0.65), 15(0.74), 17(0.98), 19(0.98), 21(0.52), 23(0.51), 25(0.82), 28(0.87), 29(0.97), 32(0.86), 34(0.61), 36(0.9), 38(0.99), 40(0.68), 43(0.73), 44(0.95), 46(0.75), 48(0.96), 51(0.58), 52(0.59), 54(0.94), 56(0.54), 58(0.53), 61(0.61), 62(0.74), 64(0.87), 67(0.62), 68(0.51), 70(0.8), 73(0.95), 74(0.5)
T3155: 2(0.97), 3(0.68), 5(0.58), 7(0.7), 9(0.68), 11(0.92), 13(0.85), 15(0.6), 17(0.77), 19(0.67), 21(0.94), 23(0.7), 25(0.69), 28(0.79), 29(0.75), 32(0.8), 34(0.52), 36(0.7), 38(0.93), 40(0.83), 43(0.98), 44(0.67), 46(0.72), 48(0.8), 50(0.89), 52(0.83), 54(0.62), 56(0.7), 58(0.63), 61(0.83), 62(0.6), 64(0.94), 67(0.88), 68(0.57), 70(0.58), 73(0.58), 74(1.0)
T3156: 2(0.76), 3(0.66), 5(0.63), 7(0.77), 9(0.93), 11(0.64), 13(0.52), 16(0.92), 17(0.79), 19(0.69), 21(0.81), 23(0.69), 25(0.7), 28(0.86), 29(0.77), 33(0.65), 34(0.77), 36(0.51), 38(0.56), 40(0.94), 42(0.68), 44(0.97), 46(0.78), 49(0.63), 50(0.94), 52(0.68), 54(0.69), 56(0.76), 58(0.86), 61(0.9), 62(0.94), 64(0.81), 67(0.51), 68(0.52), 70(0.58), 73(0.81), 74(0.96)
T3157: 2(0.85), 3(0.71), 5(0.52), 7(0.66), 9(0.65), 11(0.8), 13(1.0), 16(0.76), 17(0.82), 19(0.51), 21(0.74), 23(0.83), 25(0.75), 28(0.69), 29(1.0), 31(0.96), 34(0.76), 36(0.72), 38(0.63), 40(0.79), 42(0.53), 44(0.6), 46(0.85), 49(0.83), 50(1.0), 52(0.92), 54(0.89), 56(0.55), 58(0.5), 61(0.7), 62(0.86), 64(0.57), 67(0.96), 68(0.57), 70(0.97), 73(0.8), 74(0.6)
T3158: 2(0.8), 3(0.86), 5(0.88), 7(0.95), 9(0.86), 11(0.55), 13(0.86), 16(0.55), 17(0.88), 19(0.74), 21(0.88), 23(0.86), 25(0.82), 28(0.59), 29(0.96), 31(0.93), 34(0.62), 36(0.69), 38(0.85), 40(0.75), 43(0.52), 44(0.96), 46(0.98), 49(0.85), 50(0.55), 52(0.78), 54(0.84), 56(0.5), 58(0.86), 61(0.83), 62(0.98), 64(0.52), 67(0.78), 68(0.89), 70(0.57), 73(0.65), 74(0.93)
T3159: 2(0.64), 4(0.68), 5(0.55), 7(0.9), 9(0.64), 11(0.98), 13(0.9), 16(0.68), 17(0.87), 19(0.58), 21(0.76), 23(0.79), 25(0.98), 28(0.98), 29(0.66), 33(0.76), 34(0.84), 36(0.59), 38(0.63), 40(0.83), 42(0.69), 44(0.95), 46(0.91), 49(0.78), 50(0.97), 52(0.53), 54(0.65), 56(0.81), 58(0.89), 61(0.96), 62(0.87), 64(0.85), 67(0.56), 68(0.9), 70(0.65), 73(0.97), 74(0.53)
T3160: 2(0.97), 3(0.57), 5(0.77), 7(0.54), 9(0.65), 12(0.83), 13(0.98), 16(0.64), 17(0.6), 19(0.71), 21(0.51), 23(0.76), 25(0.85), 27(0.69), 29(0.77), 33(0.6), 34(0.65), 36(0.89), 38(0.59), 40(0.88), 42(0.72), 44(0.88), 46(0.73), 48(0.91), 51(0.53), 52(0.99), 54(0.69), 56(0.69), 58(0.56), 61(0.98), 62(0.75), 64(0.62), 67(0.76), 68(0.59), 70(0.53), 73(0.75), 74(0.92)
T3161: 2(0.88), 3(0.59), 5(0.92), 7(0.76), 9(0.83), 11(0.91), 13(0.78), 15(0.67), 17(0.58), 19(0.76), 21(0.53), 23(0.82), 25(0.91), 27(0.76), 29(0.61), 32(0.66), 34(0.78), 36(0.51), 38(0.52), 40(0.98), 43(0.89), 44(0.94), 46(0.77), 48(0.87), 51(0.91), 52(0.51), 54(0.83), 56(0.64), 58(0.74), 61(0.69), 62(0.73), 64(0.93), 67(0.6), 68(0.56), 70(0.74), 73(0.54), 74(0.51)
T3162: 2(0.91), 3(0.82), 5(0.68), 7(0.69), 9(0.52), 11(0.88), 13(0.7), 16(0.87), 17(0.85), 19(0.88), 21(0.99), 23(0.76), 25(0.77), 27(0.55), 29(0.69), 32(0.6), 34(0.57), 36(0.94), 38(0.62), 40(0.77), 43(0.88), 44(0.63), 46(0.5), 48(0.58), 51(0.62), 52(0.96), 54(0.68), 56(0.91), 58(0.82), 61(0.52), 62(0.65), 64(0.51), 67(0.98), 68(0.83), 70(0.68), 73(0.97), 74(0.93)
T3163: 2(0.81), 3(0.69), 5(0.82), 7(0.95), 9(0.72), 12(0.51), 13(0.81), 16(0.83), 17(0.67), 19(0.86), 21(0.58), 23(0.86), 25(0.54), 27(0.63), 29(0.64), 31(0.73), 34(0.53), 36(0.74), 38(0.74), 40(0.91), 42(0.89), 44(0.89), 46(0.73), 48(0.51), 51(0.78), 52(0.58), 54(0.72), 56(0.9), 58(0.6), 61(0.68), 62(0.85), 64(0.96), 67(0.83), 68(0.83), 70(0.84), 73(0.79), 74(0.87)
T3164: 2(0.59), 3(0.9), 5(0.96), 7(0.9), 9(0.71), 11(0.63), 13(0.7), 15(0.91), 17(0.91), 19(0.76), 21(0.64), 23(0.7), 25(0.79), 27(0.9), 29(0.98), 32(0.87), 34(0.92), 36(0.96), 38(0.77), 40(0.74), 43(0.89), 44(0.6), 46(0.68), 48(0.65), 50(0.61), 52(0.65), 54(0.74), 56(0.98), 58(0.83), 61(0.58), 62(0.93), 64(0.66), 67(0.59), 68(0.52), 70(0.76), 73(0.85), 74(0.88)
T3165: 2(0.93), 3(0.62), 5(0.9), 7(0.9), 10(0.58), 11(0.6), 13(0.74), 15(0.73), 17(0.82), 19(0.86), 21(0.64), 23(0.8), 25(0.6), 27(0.61), 29(0.62), 32(0.66), 34(0.84), 36(0.65), 38(0.8), 40(0.65), 43(0.75), 44(0.79), 46(0.62), 48(0.84), 50(0.85), 52(0.59), 54(0.63), 56(1.0), 58(0.81), 61(0.56), 62(0.57), 64(0.88), 67(0.69), 68(0.89), 70(0.96), 73(0.83), 74(0.97)
T3166: 2(0.74), 3(0.53), 5(0.59), 7(0.55), 10(0.59), 11(0.95), 13(0.88), 15(0.87), 17(1.0), 19(0.53), 21(1.0), 23(0.52), 25(0.58), 27(0.83), 29(0.6), 32(0.81), 34(0.81), 36(0.9), 38(0.75), 40(0.89), 43(0.64), 44(0.71), 46(0.6), 48(0.83), 50(0.62), 52(0.52), 54(0.73), 56(0.96), 58(0.77), 61(0.89), 62(0.76), 64(0.96), 67(0.68), 68(0.74), 71(0.72), 73(0.74), 74(0.76)
T3167: 2(0.87), 3(0.62), 5(0.64), 7(0.5), 9(0.53), 11(0.74), 13(1.0), 16(0.55), 17(0.77), 19(0.53), 21(0.64), 23(0.62), 25(0.78), 27(0.61), 29(0.75), 32(0.67), 34(0.56), 36(0.88), 38(0.96), 40(0.77), 43(0.61), 44(0.66), 46(0.53), 48(0.87), 50(0.68), 52(0.67), 54(0.76), 56(0.58), 58(0.93), 61(0.8), 62(0.6), 64(0.62), 67(0.63), 68(0.5), 70(0.82), 73(0.58), 74(0.74)
T3168: 2(0.75), 3(0.86), 5(0.84), 7(0.81), 9(0.91), 11(0.67), 13(0.75), 15(0.75), 17(0.77), 19(0.8), 21(0.69), 23(0.99), 25(0.94), 27(0.93), 29(0.82), 32(1.0), 34(1.0), 36(0.93), 39(0.66), 40(0.99), 43(0.73), 44(0.69), 46(0.78), 48(0.82), 51(0.99), 52(0.93), 54(0.92), 56(0.66), 58(0.54), 61(0.96), 62(0.51), 64(0.64), 67(0.82), 68(0.53), 70(0.5), 73(0.87), 74(0.93)
T3169: 2(0.6), 3(0.63), 5(0.6), 7(0.53), 10(0.84), 11(1.0), 13(0.57), 15(0.62), 17(0.93), 19(0.5), 21(0.85), 23(0.65), 25(0.67), 27(0.56), 29(0.79), 32(0.64), 34(0.98), 36(0.52), 39(0.65), 40(0.71), 43(0.85), 44(0.73), 46(0.7), 48(0.96), 51(1.0), 52(0.89), 54(0.97), 56(0.73), 58(0.51), 61(0.53), 62(0.74), 64(0.96), 67(0.59), 68(0.93), 71(0.9), 73(0.51), 74(0.88)
T3170: 2(0.6), 3(0.82), 5(0.73), 7(0.93), 10(0.61), 11(0.87), 13(0.71), 15(0.93), 17(0.72), 19(0.51), 21(0.69), 23(0.97), 25(0.84), 27(0.7), 29(0.5), 32(0.6), 34(0.53), 36(0.61), 39(0.97), 41(0.51), 43(0.86), 44(0.77), 46(0.94), 48(0.67), 51(0.66), 52(0.89), 54(0.61), 56(0.66), 58(0.95), 61(0.52), 63(0.56), 64(1.0), 67(0.83), 68(1.0), 71(0.86), 73(0.52), 74(0.68)
T3171: 2(0.83), 3(0.67), 5(0.56), 7(0.83), 9(0.51), 12(0.84), 13(0.61), 16(0.6), 17(0.86), 20(0.57), 21(0.97), 23(0.81), 25(0.71), 27(0.65), 29(0.74), 31(0.84), 34(0.51), 36(0.85), 39(0.81), 40(0.83), 42(0.88), 44(0.87), 47(0.69), 48(0.74), 51(0.83), 52(0.89), 54(0.85), 56(0.55), 58(0.61), 61(0.86), 62(0.99), 64(0.87), 67(0.83), 68(0.83), 70(0.53), 73(0.7), 74(0.96)
T3172: 2(0.99), 3(0.97), 5(0.6), 7(0.93), 9(0.9), 11(0.9), 13(0.88), 15(0.8), 17(0.54), 19(0.66), 21(0.97), 23(0.89), 25(0.74), 27(0.67), 29(0.71), 32(0.92), 34(0.51), 36(0.99), 39(0.81), 40(0.5), 43(0.73), 44(0.82), 46(0.99), 48(0.93), 50(0.95), 52(0.91), 54(0.95), 56(0.65), 58(0.72), 61(0.68), 62(0.78), 64(1.0), 67(0.85), 68(0.9), 70(0.84), 73(0.94), 74(0.56)
T3173: 2(0.65), 3(0.75), 5(0.83), 7(0.72), 10(0.67), 11(0.65), 13(0.7), 15(0.83), 17(0.7), 19(0.87), 21(0.5), 23(0.92), 25(0.56), 27(0.88), 29(0.97), 32(0.67), 34(0.74), 36(0.69), 39(0.76), 40(0.93), 43(0.95), 44(0.86), 46(0.64), 48(0.78), 50(0.93), 52(0.98), 54(0.95), 56(0.92), 58(0.91), 61(0.92), 62(0.73), 64(0.54), 67(0.59), 68(0.66), 70(0.62), 73(0.67), 74(0.93)
T3174: 2(0.7), 3(0.93), 5(0.93), 7(0.92), 9(0.63), 11(0.75), 13(0.77), 16(0.96), 17(0.89), 20(0.95), 21(0.65), 23(0.78), 25(0.63), 27(0.69), 29(0.52), 32(0.77), 34(0.99), 36(0.91), 39(0.53), 40(0.72), 42(0.99), 44(0.67), 47(0.66), 48(0.99), 50(0.51), 52(0.95), 54(0.84), 56(0.7), 58(0.72), 61(0.79), 62(0.59), 64(0.82), 67(0.64), 68(0.82), 70(0.75), 73(0.85), 74(0.94)
T3175: 2(0.78), 3(0.62), 5(0.81), 7(0.56), 9(0.65), 11(0.97), 13(0.97), 16(0.88), 18(0.58), 20(0.84), 21(0.51), 23(0.99), 25(0.96), 27(0.97), 29(0.57), 32(0.8), 34(0.57), 36(0.7), 38(0.77), 40(0.52), 42(0.94), 44(0.53), 47(0.61), 48(0.71), 51(0.71), 52(0.53), 54(0.55), 56(0.63), 58(0.74), 61(0.82), 62(0.64), 64(0.97), 67(0.77), 68(0.76), 70(0.86), 73(0.56), 74(0.58)
T3176: 2(0.55), 3(0.84), 5(0.99), 7(0.63), 9(0.99), 11(0.95), 13(0.77), 16(0.57), 17(0.55), 19(0.7), 21(0.79), 23(0.67), 25(0.75), 27(0.58), 29(0.86), 33(0.98), 34(0.57), 36(0.76), 38(0.93), 40(0.72), 42(0.96), 44(0.81), 46(0.98), 49(0.51), 50(0.54), 52(0.78), 54(0.77), 56(0.64), 58(0.68), 61(0.79), 62(0.86), 64(0.95), 67(0.75), 68(0.6), 70(0.93), 73(0.6), 74(0.78)
T3177: 2(0.81), 3(0.59), 5(0.75), 7(0.78), 9(0.84), 11(0.52), 13(0.83), 16(0.56), 17(0.87), 19(0.78), 21(0.87), 23(0.68), 25(0.78), 27(0.77), 29(0.82), 31(0.61), 34(0.65), 36(0.84), 38(0.96), 40(0.86), 42(0.96), 44(0.6), 46(0.83), 49(0.56), 50(0.5), 52(0.63), 54(0.8), 56(0.79), 58(0.62), 61(0.68), 62(0.6), 64(0.56), 67(0.59), 68(0.79), 70(0.83), 73(0.98), 74(0.62)
T3178: 2(0.54), 3(0.67), 5(0.58), 7(0.55), 9(0.93), 11(0.53), 13(0.88), 16(0.87), 17(0.86), 19(0.59), 21(0.83), 23(0.94), 25(0.96), 27(0.6), 29(0.53), 31(0.53), 34(0.81), 36(0.73), 38(0.55), 40(0.68), 43(0.9), 44(0.61), 46(0.87), 49(0.85), 50(0.93), 52(0.56), 54(0.71), 56(0.64), 58(0.65), 61(0.69), 62(0.61), 64(0.64), 67(0.92), 68(0.98), 70(0.7), 73(0.58), 74(0.96)
T3179: 2(0.73), 4(0.59), 5(0.91), 7(0.8), 9(0.7), 11(0.67), 13(0.89), 16(0.63), 17(0.88), 19(0.61), 21(0.62), 23(0.97), 25(0.68), 27(0.51), 29(0.85), 33(0.64), 34(0.65), 36(0.84), 38(0.52), 40(0.94), 42(0.8), 44(0.73), 46(0.77), 49(0.87), 50(0.57), 52(0.78), 54(0.59), 56(0.87), 58(0.85), 61(0.61), 62(0.62), 64(0.78), 67(0.96), 68(0.94), 70(0.65), 73(0.59), 74(0.54)
T3180: 2(0.5), 3(0.86), 5(0.71), 7(0.58), 9(0.92), 11(0.81), 13(0.98), 16(0.72), 17(0.96), 19(0.66), 21(0.68), 23(0.9), 26(0.56), 28(0.83), 29(0.96), 31(0.73), 34(0.94), 36(0.53), 38(0.64), 40(0.55), 43(0.87), 44(0.57), 46(0.94), 49(0.93), 50(0.84), 52(0.86), 54(0.98), 56(0.96), 58(0.62), 61(0.98), 62(0.67), 64(0.51), 67(0.81), 68(0.59), 70(0.82), 73(0.87), 74(0.79)
