T1: 1(0.73), 3(0.95), 5(0.75), 7(0.81), 9(0.82), 11(0.83), 13(0.93), 15(0.96), 17(0.88), 19(0.74), 21(0.80), 23(0.76), 25(0.82), 27(0.80), 29(0.80), 31(0.70), 34(0.81), 36(0.76), 38(0.75), 40(0.95), 42(0.98), 44(0.85), 46(0.85), 48(0.85), 50(0.80), 52(0.81), 54(0.78), 56(0.90), 58(0.72), 60(0.96), 62(0.93), 64(0.91), 66(0.83), 68(0.77), 70(0.75), 72(0.82), 74(0.88)
T1492: 2(0.98), 3(0.74), 5(0.88), 7(0.79), 9(0.95), 12(0.88), 13(0.86), 16(0.90), 17(0.73), 19(0.72), 22(0.71), 23(0.96), 25(0.95), 28(0.76), 29(0.88), 31(0.86), 34(0.81), 36(0.90), 38(0.79), 40(0.85), 42(0.90), 44(0.80), 46(0.83), 48(0.74), 50(0.81), 52(0.83), 55(0.94), 56(0.78), 58(0.70), 60(0.84), 62(0.89), 64(0.89), 66(0.84), 69(0.80), 70(0.71), 72(0.76), 74(0.84)
T1493: 2(0.98), 3(0.76), 5(0.77), 7(0.93), 9(0.77), 11(0.76), 13(0.86), 15(0.84), 17(0.82), 19(0.86), 22(0.78), 23(0.79), 25(0.76), 28(0.73), 29(0.80), 31(0.98), 34(0.86), 36(0.86), 38(0.79), 40(0.82), 42(0.78), 44(0.86), 46(0.88), 48(0.98), 51(0.82), 52(0.71), 55(0.96), 56(0.78), 58(0.73), 60(0.84), 62(0.79), 64(0.99), 66(0.95), 68(0.83), 70(0.86), 72(0.92), 74(0.92)
T1494: 2(0.99), 3(0.86), 5(0.72), 7(0.89), 9(0.86), 11(0.96), 13(0.98), 15(0.89), 17(0.73), 19(0.94), 22(0.78), 23(0.95), 25(0.82), 28(0.79), 29(0.89), 31(0.84), 34(0.98), 36(0.91), 38(0.74), 40(0.99), 42(0.73), 44(0.99), 46(0.97), 48(0.77), 51(0.90), 52(0.88), 55(0.77), 56(0.95), 58(0.87), 60(0.97), 62(0.87), 64(0.98), 66(0.72), 69(0.90), 70(0.88), 72(0.78), 74(0.73)
T1495: 2(0.81), 3(0.79), 5(0.97), 7(0.91), 9(0.79), 11(0.76), 13(0.85), 15(0.87), 17(0.74), 19(0.72), 22(0.72), 23(0.98), 25(0.92), 28(0.73), 29(0.70), 31(0.85), 34(0.97), 37(0.72), 38(0.78), 40(0.97), 42(0.79), 44(0.85), 46(0.70), 48(0.92), 50(0.78), 52(0.90), 55(0.82), 56(0.96), 58(0.85), 60(0.85), 62(0.82), 64(0.99), 66(0.97), 68(0.74), 70(0.79), 72(0.71), 74(0.85)
T1496: 2(0.82), 3(0.73), 5(0.99), 7(0.95), 9(0.85), 11(0.86), 13(0.70), 15(0.96), 17(0.71), 19(0.83), 22(0.90), 23(0.74), 25(0.78), 28(0.72), 29(0.98), 31(0.77), 34(0.97), 37(0.86), 38(0.95), 40(0.70), 42(0.83), 44(0.85), 46(0.86), 48(0.99), 50(0.92), 52(0.90), 55(0.93), 56(0.86), 58(0.91), 60(0.80), 62(0.73), 64(0.71), 66(0.86), 69(0.74), 70(0.81), 72(0.85), 74(0.89)
T1497: 2(0.87), 3(0.89), 5(0.96), 7(1.00), 9(0.99), 12(0.90), 13(0.93), 16(0.90), 18(0.83), 20(0.80), 22(0.86), 23(0.72), 25(0.84), 28(0.75), 29(0.77), 31(0.94), 34(0.76), 36(0.71), 38(0.97), 40(0.74), 42(0.96), 44(0.70), 46(0.90), 48(0.89), 50(0.84), 52(0.71), 55(0.77), 56(1.00), 58(0.71), 60(0.70), 62(0.87), 64(0.94), 66(1.00), 68(0.77), 70(0.97), 72(0.82), 74(0.73)
T1498: 2(0.81), 3(0.95), 5(0.78), 7(0.77), 9(0.89), 11(0.85), 13(0.73), 15(0.98), 17(0.71), 19(0.75), 22(0.99), 23(0.76), 25(0.72), 28(0.72), 29(0.94), 31(0.80), 34(0.85), 36(0.85), 38(0.82), 40(0.78), 42(0.86), 44(0.76), 46(0.96), 49(0.80), 50(0.79), 52(0.84), 55(0.93), 56(0.98), 58(0.77), 60(0.91), 62(0.84), 64(0.82), 66(0.92), 68(0.70), 70(0.82), 72(0.89), 74(0.77)
T1499: 2(0.93), 3(0.93), 5(0.76), 7(0.94), 9(0.94), 11(0.79), 14(0.76), 15(0.74), 17(0.84), 19(0.95), 22(0.98), 23(0.88), 25(0.89), 28(0.93), 29(0.95), 31(0.98), 34(0.98), 36(0.83), 38(0.99), 40(0.71), 42(0.78), 44(0.96), 46(0.80), 48(0.85), 50(0.95), 52(0.77), 55(0.98), 56(0.88), 58(0.85), 60(0.75), 62(0.87), 64(0.78), 66(0.91), 68(0.96), 70(0.81), 72(0.99), 74(0.98)
T1500: 2(0.88), 3(0.84), 5(0.79), 7(0.90), 9(0.84), 12(0.71), 14(0.80), 16(0.79), 17(0.87), 19(0.83), 22(0.97), 23(0.72), 25(0.86), 28(0.74), 29(0.87), 31(0.99), 34(0.77), 36(0.86), 38(0.95), 40(0.78), 42(0.89), 44(0.98), 46(0.87), 48(0.70), 50(0.90), 52(0.87), 55(0.91), 56(0.71), 58(0.72), 60(0.72), 62(0.90), 64(0.76), 66(0.88), 68(0.92), 70(0.90), 72(0.86), 74(0.75)
T1501: 2(0.73), 3(0.71), 5(0.81), 7(0.92), 9(0.80), 11(0.70), 14(0.83), 15(0.84), 17(0.99), 19(0.85), 22(0.86), 23(0.87), 25(0.79), 28(0.98), 29(0.80), 31(0.96), 34(0.96), 36(0.97), 38(0.79), 40(0.94), 42(0.90), 44(0.93), 46(0.93), 48(0.90), 50(0.88), 52(0.84), 55(0.89), 56(0.88), 58(0.76), 60(0.85), 62(0.79), 64(0.77), 66(0.97), 69(0.97), 70(0.71), 72(0.90), 74(0.98)
T1502: 2(0.75), 3(0.76), 5(0.76), 7(0.97), 9(0.87), 12(0.89), 14(0.94), 16(0.73), 17(0.84), 19(0.89), 22(0.99), 23(0.91), 25(0.78), 28(0.88), 29(0.98), 31(0.94), 34(0.92), 36(0.81), 38(0.96), 40(0.74), 42(0.76), 44(0.77), 46(0.86), 48(0.94), 50(0.84), 52(0.88), 55(0.85), 56(0.95), 58(0.82), 60(0.84), 62(0.88), 64(0.77), 66(0.84), 69(0.76), 70(0.80), 72(0.71), 74(0.85)
T1503: 2(0.83), 3(0.81), 5(0.80), 7(0.82), 9(0.87), 11(0.95), 14(0.76), 15(0.75), 17(0.91), 19(0.85), 22(0.75), 23(0.92), 25(0.71), 28(0.79), 29(0.78), 31(0.75), 34(0.70), 36(0.72), 38(0.97), 40(0.72), 42(0.73), 44(0.82), 46(0.89), 48(0.71), 51(0.92), 52(0.87), 55(0.82), 56(0.75), 58(0.79), 60(0.72), 62(0.91), 64(0.89), 66(0.87), 68(0.82), 70(0.78), 72(0.92), 74(0.91)
T1504: 2(0.77), 3(0.96), 5(0.95), 7(0.97), 10(0.95), 11(0.73), 14(0.71), 15(0.86), 17(0.87), 19(0.97), 22(0.93), 23(0.73), 25(0.77), 28(0.71), 29(0.80), 31(0.74), 34(0.74), 36(0.99), 38(0.79), 40(0.76), 42(0.79), 44(0.89), 46(0.71), 48(0.79), 51(0.91), 52(0.86), 55(0.76), 56(0.84), 58(0.83), 60(0.92), 62(0.74), 64(0.95), 66(0.75), 68(0.92), 70(0.83), 72(0.84), 74(0.82)
T1505: 2(0.70), 3(0.78), 5(0.70), 7(0.76), 9(0.74), 12(0.98), 14(0.75), 16(0.99), 17(0.72), 19(1.00), 22(0.91), 23(0.75), 25(0.94), 28(0.75), 29(0.97), 31(0.86), 34(0.82), 36(0.96), 38(0.98), 40(0.95), 42(0.85), 44(0.83), 46(1.00), 48(0.73), 51(0.87), 52(0.79), 55(0.99), 56(0.87), 58(0.92), 60(0.82), 62(0.75), 64(0.73), 66(0.89), 68(0.82), 70(0.72), 72(0.99), 74(0.90)
T1506: 2(0.79), 3(0.74), 5(0.79), 7(0.80), 9(0.84), 11(0.87), 14(0.73), 15(0.90), 17(0.78), 19(0.81), 22(0.88), 23(0.89), 25(0.80), 28(0.72), 29(0.91), 31(0.82), 34(0.83), 36(0.75), 38(0.84), 40(0.97), 42(0.73), 44(0.87), 46(0.74), 48(0.74), 51(0.77), 52(0.76), 55(0.74), 56(0.90), 58(0.79), 60(0.77), 62(0.76), 64(0.79), 66(0.81), 69(0.75), 70(0.78), 72(0.83), 74(0.87)
T1507: 2(0.97), 3(0.87), 5(0.77), 7(1.00), 10(0.87), 11(0.75), 14(0.89), 15(0.71), 17(0.80), 19(0.90), 22(0.84), 23(0.87), 25(0.77), 28(0.74), 29(0.99), 31(0.82), 34(0.80), 36(0.85), 38(0.75), 40(0.73), 42(0.81), 44(0.90), 46(0.80), 48(0.78), 51(0.90), 52(0.85), 55(0.91), 56(0.93), 58(0.92), 60(0.91), 62(0.98), 64(0.72), 66(0.95), 69(0.84), 70(0.74), 72(0.78), 74(0.74)
T1508: 2(0.78), 3(0.89), 5(0.90), 7(0.96), 9(0.72), 11(0.80), 14(0.73), 15(1.00), 18(1.00), 20(0.96), 22(0.91), 23(0.97), 25(0.85), 28(0.76), 29(0.79), 31(0.80), 34(0.74), 36(0.86), 38(0.76), 40(0.99), 42(0.92), 44(0.86), 46(0.80), 48(0.72), 50(0.93), 52(0.80), 55(0.95), 56(0.85), 58(0.88), 60(0.74), 62(0.98), 64(0.97), 66(0.89), 68(0.77), 70(0.92), 72(0.78), 74(0.79)
T1509: 2(0.77), 3(0.70), 5(0.81), 7(0.99), 9(0.98), 12(0.82), 14(0.98), 15(0.99), 18(0.94), 20(0.81), 22(0.78), 23(0.89), 25(0.73), 28(0.80), 29(0.80), 31(0.73), 34(0.89), 36(0.90), 38(0.97), 40(0.99), 42(0.90), 44(0.96), 46(0.76), 48(0.76), 50(0.84), 52(0.78), 55(0.89), 56(0.72), 58(0.87), 60(0.79), 62(0.98), 64(0.72), 66(0.78), 68(0.98), 70(0.73), 72(0.75), 74(0.76)
T1510: 2(0.74), 3(0.85), 5(0.84), 7(0.76), 9(0.98), 11(0.94), 14(0.87), 15(0.75), 18(0.78), 20(0.71), 22(0.92), 23(0.88), 25(0.89), 28(0.81), 29(0.80), 31(0.94), 34(0.70), 36(1.00), 38(0.75), 40(0.84), 42(0.91), 44(0.71), 46(0.84), 48(0.73), 50(0.98), 52(0.89), 55(0.72), 56(0.77), 58(0.92), 60(0.71), 62(0.77), 64(0.98), 66(0.80), 69(0.93), 70(0.84), 72(0.76), 74(0.85)
T1511: 2(0.99), 3(0.83), 5(0.74), 7(0.98), 9(0.98), 11(0.78), 14(0.88), 15(0.88), 17(0.76), 19(0.70), 22(0.83), 23(0.86), 25(0.76), 28(0.75), 29(0.79), 31(0.95), 34(0.99), 36(0.91), 38(0.80), 40(0.74), 42(0.75), 44(0.88), 46(0.83), 49(0.95), 50(0.73), 52(0.98), 55(0.91), 56(0.73), 58(0.86), 60(0.91), 62(0.70), 64(0.90), 66(0.94), 68(0.77), 70(0.86), 72(0.78), 74(0.87)
T1512: 2(0.94), 3(0.84), 5(0.80), 7(0.73), 9(0.95), 11(0.72), 13(0.76), 15(0.86), 17(0.76), 19(0.76), 22(0.93), 23(0.97), 26(0.96), 27(0.72), 29(0.96), 31(0.83), 34(0.96), 36(0.98), 38(0.76), 40(0.76), 42(0.98), 44(0.85), 46(0.81), 48(0.89), 50(0.95), 52(0.84), 54(0.80), 56(0.92), 58(0.91), 60(0.78), 62(0.90), 64(0.73), 66(0.75), 68(0.93), 70(0.94), 72(0.85), 74(0.81)
T1513: 2(0.80), 3(0.82), 5(0.77), 7(0.79), 9(0.94), 11(0.87), 13(0.93), 15(0.97), 17(0.95), 19(0.78), 22(0.93), 23(0.73), 26(0.96), 27(0.83), 29(0.94), 31(1.00), 34(0.78), 36(0.76), 38(0.74), 40(0.80), 42(0.86), 44(0.89), 46(0.90), 48(0.97), 50(0.78), 52(0.72), 54(0.95), 56(0.76), 58(0.88), 60(0.84), 62(0.82), 64(0.73), 66(0.89), 68(0.94), 71(0.86), 72(0.88), 74(0.89)
T1514: 2(0.70), 3(0.97), 5(0.82), 7(0.80), 9(0.92), 11(0.83), 13(0.79), 15(0.76), 17(0.98), 19(0.72), 22(0.78), 23(0.88), 26(0.83), 27(0.96), 29(0.87), 31(0.74), 34(0.88), 36(0.96), 38(0.80), 40(0.74), 42(0.98), 44(0.96), 46(0.88), 48(0.77), 50(0.90), 52(0.91), 54(0.71), 56(0.97), 58(0.97), 60(0.82), 62(0.86), 64(0.74), 66(0.89), 69(0.77), 70(0.86), 72(0.85), 74(0.80)
T1515: 2(0.78), 3(0.93), 5(0.86), 7(0.91), 9(0.73), 11(0.98), 13(0.86), 15(0.87), 17(0.83), 19(0.74), 22(0.98), 23(0.81), 26(0.87), 27(1.00), 29(0.73), 31(0.99), 34(0.98), 36(0.93), 38(0.78), 40(0.82), 42(0.84), 44(0.75), 46(0.92), 48(0.73), 51(0.84), 52(0.81), 54(0.88), 56(0.72), 58(0.94), 60(0.81), 62(0.87), 64(0.75), 66(0.99), 69(0.87), 70(0.81), 72(0.99), 74(0.87)
T1516: 2(0.97), 3(1.00), 5(0.92), 7(0.73), 9(0.88), 11(0.92), 14(0.86), 15(0.82), 17(0.91), 19(0.84), 22(0.84), 23(0.88), 26(0.71), 27(0.93), 29(0.77), 31(0.90), 34(0.91), 36(0.88), 38(1.00), 40(0.80), 42(0.97), 44(0.91), 46(0.82), 48(0.88), 50(0.84), 52(0.83), 54(0.79), 56(0.72), 58(0.83), 60(0.87), 62(0.82), 64(0.87), 66(0.72), 68(0.99), 70(0.78), 72(0.78), 74(0.79)
T1517: 2(0.97), 3(0.99), 5(0.81), 7(0.97), 9(0.98), 11(0.84), 14(0.90), 15(0.72), 17(0.96), 19(0.86), 22(0.74), 23(0.73), 26(0.85), 27(0.93), 29(0.95), 31(0.86), 34(0.95), 36(0.73), 38(0.83), 40(0.88), 42(0.80), 44(0.91), 46(0.92), 48(0.89), 50(0.95), 52(0.82), 54(0.85), 56(0.91), 58(0.82), 60(0.75), 62(1.00), 64(0.85), 66(1.00), 69(0.83), 70(0.98), 72(0.83), 74(0.85)
T1518: 2(0.94), 3(0.93), 5(0.89), 7(0.89), 9(0.96), 11(0.93), 14(0.89), 15(0.95), 17(0.97), 19(0.99), 22(0.84), 23(0.80), 26(0.96), 27(0.76), 29(0.93), 31(0.91), 34(0.92), 36(0.80), 38(0.90), 40(0.94), 42(0.90), 44(0.86), 46(0.92), 48(0.73), 51(1.00), 52(0.97), 54(0.92), 56(0.98), 58(0.99), 60(0.80), 62(0.95), 64(0.80), 66(0.88), 69(0.79), 70(0.84), 72(0.71), 74(0.93)
T1519: 2(0.96), 3(0.72), 5(0.79), 7(0.81), 9(0.91), 11(0.77), 13(0.75), 15(0.72), 17(0.85), 19(0.87), 22(0.80), 23(0.83), 26(0.88), 27(0.77), 29(0.72), 31(0.71), 34(0.72), 36(0.71), 38(0.96), 40(1.00), 42(0.74), 44(0.84), 46(0.71), 48(0.74), 50(0.80), 52(0.88), 55(0.73), 56(0.96), 58(0.88), 60(0.82), 62(0.78), 64(0.89), 66(0.96), 68(0.91), 70(0.84), 72(0.86), 74(0.78)
T1520: 2(0.84), 3(0.91), 5(0.75), 7(0.74), 9(0.88), 11(0.91), 13(0.87), 15(0.95), 17(0.92), 19(0.92), 22(0.85), 23(0.87), 26(0.73), 27(1.00), 29(0.84), 31(0.96), 34(0.99), 36(0.89), 38(0.90), 40(0.99), 42(0.98), 44(0.87), 46(0.86), 48(0.79), 50(0.99), 52(0.75), 55(0.98), 56(0.80), 58(0.84), 60(0.71), 62(0.98), 64(0.87), 66(0.94), 68(0.97), 71(0.85), 72(0.82), 74(0.83)
T1521: 2(0.90), 3(0.83), 5(0.82), 7(0.92), 9(0.99), 11(0.92), 13(0.90), 15(0.90), 17(0.99), 19(0.79), 22(0.92), 23(0.81), 26(0.92), 27(0.86), 29(0.89), 31(0.90), 34(0.75), 36(0.86), 38(0.70), 40(0.99), 42(0.78), 44(0.94), 46(0.71), 48(0.85), 51(0.98), 52(0.98), 55(0.70), 56(0.77), 58(0.86), 60(0.77), 62(0.71), 64(0.81), 66(0.80), 68(0.83), 70(0.87), 72(0.93), 74(0.71)
T1522: 2(0.81), 3(0.83), 5(0.77), 7(0.81), 9(0.70), 11(0.93), 13(0.74), 15(0.70), 17(0.94), 19(0.90), 22(0.79), 23(0.74), 26(0.75), 28(0.75), 29(0.84), 31(0.85), 34(0.85), 36(0.82), 38(0.96), 40(0.78), 42(0.88), 44(0.78), 46(0.89), 48(1.00), 50(0.95), 52(0.97), 54(0.71), 56(0.74), 58(0.81), 60(0.86), 62(0.83), 64(0.79), 66(0.74), 68(0.95), 70(0.95), 72(0.74), 74(0.88)
T1523: 2(0.84), 3(0.89), 5(0.71), 7(0.77), 9(0.91), 11(0.87), 13(0.93), 15(1.00), 17(0.77), 19(0.98), 22(0.95), 23(0.87), 26(0.78), 28(0.82), 29(0.89), 31(0.70), 34(0.90), 36(0.81), 38(0.96), 40(0.78), 42(0.93), 44(0.90), 46(0.79), 48(0.82), 50(0.90), 52(0.90), 54(0.93), 56(0.89), 58(0.93), 60(0.77), 62(0.98), 64(0.73), 66(0.71), 69(0.72), 70(0.92), 72(0.96), 74(0.92)
T1524: 2(0.99), 3(0.97), 5(0.86), 7(0.74), 9(0.90), 11(0.85), 13(0.98), 15(0.91), 17(0.72), 19(0.92), 22(0.95), 23(0.87), 26(0.83), 28(0.82), 29(0.73), 31(0.73), 34(0.70), 36(0.84), 38(0.99), 40(0.70), 42(0.81), 44(0.92), 46(1.00), 48(0.97), 51(0.77), 52(0.98), 54(0.75), 56(0.74), 58(0.86), 60(0.75), 62(0.97), 64(0.73), 66(0.93), 69(0.89), 70(0.87), 72(0.94), 74(0.87)
T1525: 2(0.71), 3(0.83), 5(0.81), 7(0.82), 9(0.74), 11(0.96), 14(0.72), 15(0.89), 17(0.83), 19(0.77), 22(0.84), 23(0.80), 26(0.85), 28(0.77), 29(0.74), 31(0.76), 34(0.88), 36(0.74), 38(0.70), 40(0.77), 42(0.91), 44(0.97), 46(0.89), 48(0.82), 50(0.82), 52(0.97), 54(0.99), 56(0.71), 58(0.82), 60(0.84), 62(0.73), 64(0.71), 66(0.73), 68(0.82), 70(0.89), 72(0.74), 74(0.84)
T1526: 2(0.78), 3(0.71), 5(0.72), 7(0.81), 9(0.80), 11(0.99), 14(0.91), 15(0.90), 17(0.87), 19(0.73), 22(0.86), 23(0.78), 26(0.96), 28(0.91), 29(0.73), 31(0.81), 34(0.97), 36(0.89), 38(1.00), 40(0.97), 42(1.00), 44(0.95), 46(0.76), 48(0.77), 50(0.99), 52(0.73), 54(0.74), 56(1.00), 58(0.93), 60(0.89), 62(0.80), 64(0.86), 66(0.85), 69(0.78), 70(0.70), 72(0.93), 74(0.80)
T1527: 2(0.72), 3(0.85), 5(0.74), 7(0.77), 9(0.90), 11(0.99), 14(0.77), 15(0.93), 17(0.70), 19(0.80), 22(0.76), 23(0.91), 26(0.98), 28(0.83), 29(0.96), 31(0.94), 34(0.85), 36(0.88), 38(0.75), 40(0.70), 42(0.78), 44(0.71), 46(1.00), 48(0.75), 51(0.98), 52(0.84), 54(0.74), 56(0.73), 58(0.96), 60(0.92), 62(0.91), 64(0.75), 66(0.81), 69(0.77), 70(0.80), 72(0.89), 74(0.71)
T1528: 2(0.91), 3(0.85), 5(0.89), 7(0.88), 9(0.77), 11(0.73), 13(0.84), 15(0.86), 17(0.92), 19(0.99), 22(0.72), 23(0.74), 26(0.83), 28(0.74), 29(0.99), 31(0.79), 34(0.92), 36(0.79), 38(0.81), 40(0.94), 42(0.97), 44(0.89), 46(0.77), 48(0.76), 50(0.95), 52(0.91), 55(0.93), 56(0.75), 58(0.88), 60(0.73), 62(0.85), 64(0.82), 66(0.86), 68(0.83), 70(0.98), 72(0.98), 74(0.91)
T1529: 2(0.94), 3(0.90), 5(0.86), 7(0.79), 9(0.83), 11(1.00), 13(0.88), 15(0.96), 17(0.98), 19(0.71), 22(0.99), 23(1.00), 26(0.98), 28(0.74), 29(0.89), 31(0.91), 34(0.79), 36(0.90), 38(0.88), 40(0.94), 42(0.98), 44(0.80), 46(0.90), 48(0.89), 50(0.92), 52(0.83), 55(0.70), 56(0.91), 58(0.97), 60(0.95), 62(0.99), 64(0.99), 66(0.94), 69(0.77), 70(0.72), 72(0.80), 74(0.74)
T1530: 2(0.85), 3(0.76), 5(0.85), 7(0.81), 9(0.97), 11(0.74), 13(0.84), 15(0.75), 17(0.99), 19(0.88), 22(0.86), 23(0.80), 26(0.75), 28(0.90), 29(0.91), 31(0.84), 34(1.00), 36(0.96), 38(0.82), 40(0.80), 42(0.90), 44(0.87), 46(0.81), 48(0.89), 51(0.73), 52(0.98), 55(0.90), 56(1.00), 58(0.71), 60(0.96), 62(0.98), 64(0.77), 66(0.98), 68(0.82), 70(0.72), 72(0.99), 74(0.92)
T1531: 2(0.83), 3(0.76), 5(0.99), 7(0.84), 9(0.90), 11(0.96), 14(0.92), 15(0.96), 17(0.95), 19(0.74), 22(0.95), 23(0.79), 26(0.86), 28(0.91), 29(0.82), 31(0.78), 34(0.91), 36(0.75), 38(0.72), 40(0.85), 42(0.78), 44(0.78), 46(0.80), 48(0.82), 50(0.91), 52(0.73), 55(0.91), 56(0.98), 58(0.72), 60(0.75), 62(0.87), 64(0.77), 66(0.88), 68(0.78), 70(0.95), 72(0.92), 74(0.91)
T1532: 2(0.87), 3(0.95), 5(0.70), 7(0.98), 9(0.87), 11(0.71), 14(0.83), 15(0.84), 17(0.73), 19(0.96), 22(0.78), 23(0.88), 26(0.97), 28(1.00), 29(0.81), 31(0.72), 34(0.89), 36(0.91), 38(0.99), 40(0.76), 42(0.74), 44(0.85), 46(0.88), 48(0.93), 50(0.89), 52(0.81), 55(0.74), 56(0.90), 58(0.96), 60(0.94), 62(0.72), 64(0.95), 66(0.83), 69(0.89), 70(0.97), 72(0.77), 74(0.95)
T1533: 2(0.85), 3(0.86), 5(0.97), 7(0.77), 9(0.74), 11(0.80), 14(0.78), 15(0.94), 17(0.70), 19(0.84), 22(0.88), 23(0.93), 26(0.75), 28(0.96), 29(0.72), 31(0.79), 34(0.88), 36(0.95), 38(0.81), 40(0.94), 42(0.78), 44(0.99), 46(0.94), 48(0.77), 51(0.93), 52(0.97), 55(0.81), 56(0.79), 58(0.98), 60(0.77), 62(0.88), 64(0.93), 66(0.84), 68(0.70), 70(0.79), 72(0.78), 74(0.82)
T1534: 2(0.83), 3(0.87), 5(0.89), 7(0.91), 9(0.99), 11(0.70), 13(0.74), 15(0.84), 17(0.99), 19(0.77), 22(0.87), 23(0.92), 25(0.71), 27(0.99), 29(0.75), 31(0.79), 34(0.93), 36(0.72), 38(0.79), 40(1.00), 42(0.72), 44(0.84), 46(0.76), 48(0.99), 50(0.86), 52(0.71), 54(0.82), 56(0.90), 58(0.82), 60(0.84), 62(0.94), 64(0.82), 66(1.00), 68(1.00), 70(0.81), 72(0.84), 75(0.98)
T1535: 2(0.86), 3(0.94), 5(0.88), 7(0.87), 9(0.90), 11(0.70), 13(0.95), 15(1.00), 17(0.70), 19(0.82), 22(0.81), 23(0.81), 25(0.91), 27(0.80), 29(0.98), 31(0.76), 34(0.84), 36(0.97), 38(0.79), 40(0.96), 42(0.79), 44(0.70), 46(0.73), 48(0.85), 50(0.86), 52(0.95), 54(0.79), 56(0.76), 58(0.76), 60(1.00), 62(0.80), 64(0.93), 66(0.92), 68(0.71), 71(0.95), 72(0.78), 75(0.70)
T1536: 2(0.95), 3(0.75), 5(0.98), 7(0.87), 9(0.82), 12(0.79), 13(0.97), 16(0.81), 17(0.94), 19(0.77), 22(0.83), 23(0.77), 25(0.85), 27(0.93), 29(0.96), 31(1.00), 34(0.93), 36(0.74), 38(0.83), 40(0.91), 42(0.72), 44(0.90), 46(0.85), 48(0.75), 50(0.87), 52(0.74), 54(0.73), 56(0.71), 58(0.79), 60(0.98), 62(0.71), 64(0.92), 66(0.79), 68(0.87), 70(0.72), 72(0.73), 75(0.93)
T1537: 2(0.74), 3(0.80), 5(0.98), 7(0.90), 9(0.73), 11(0.82), 13(0.98), 15(0.85), 17(0.96), 19(0.98), 22(0.89), 23(0.83), 25(0.96), 27(0.78), 29(0.95), 31(0.80), 34(0.72), 36(0.80), 38(0.84), 40(0.87), 42(0.72), 44(0.96), 46(0.86), 48(0.77), 51(0.86), 52(0.88), 54(0.87), 56(0.83), 58(0.96), 60(0.72), 62(0.74), 64(0.81), 66(0.88), 68(0.83), 70(0.78), 72(0.93), 75(0.92)
T1538: 2(0.83), 3(0.97), 5(0.72), 7(0.79), 9(0.92), 11(0.75), 13(0.81), 15(0.94), 17(0.96), 19(0.85), 22(0.87), 23(0.87), 25(0.81), 27(0.93), 29(0.79), 31(0.72), 34(0.88), 36(0.72), 38(0.71), 40(0.98), 42(0.71), 44(0.98), 46(0.76), 48(0.89), 51(0.74), 52(0.88), 54(0.81), 56(0.93), 58(0.99), 60(0.86), 62(0.84), 64(0.75), 66(0.98), 68(0.95), 71(0.79), 72(0.97), 75(0.99)
T1539: 2(0.93), 3(0.92), 5(0.88), 7(0.91), 9(0.78), 11(0.91), 13(0.88), 16(0.88), 18(0.87), 20(0.98), 22(0.71), 23(0.72), 25(0.86), 27(0.71), 29(0.97), 31(0.87), 34(0.96), 36(0.96), 38(0.74), 40(0.98), 42(0.72), 44(0.79), 46(0.78), 48(0.73), 50(0.81), 52(0.89), 54(0.81), 56(0.76), 58(0.75), 60(0.75), 62(0.85), 64(0.79), 66(0.90), 68(0.71), 71(0.76), 72(0.80), 75(0.71)
T1540: 2(0.99), 3(0.77), 5(0.71), 7(0.79), 9(0.84), 12(0.92), 13(0.72), 16(0.83), 18(0.85), 20(1.00), 22(0.97), 23(0.74), 25(0.91), 27(0.89), 29(0.76), 31(0.78), 34(0.85), 36(0.81), 38(0.74), 40(0.94), 42(0.98), 44(0.83), 46(0.79), 48(0.98), 50(0.82), 52(0.84), 54(0.89), 56(0.82), 58(0.99), 60(0.77), 62(0.93), 64(0.71), 66(0.84), 68(0.82), 70(0.82), 72(0.86), 75(0.98)
T1541: 2(0.85), 3(0.84), 5(0.90), 7(0.97), 9(0.99), 12(0.78), 13(0.84), 16(0.90), 18(0.93), 20(0.76), 22(0.78), 23(0.92), 25(0.89), 27(0.79), 29(0.94), 31(0.72), 34(0.73), 36(0.79), 38(0.83), 40(0.90), 42(0.74), 44(0.87), 46(0.80), 48(0.76), 50(0.87), 52(0.78), 54(0.86), 56(0.97), 58(0.88), 60(0.79), 62(0.88), 64(0.75), 66(0.87), 68(0.89), 71(0.87), 72(0.71), 75(0.85)
T1542: 2(0.79), 3(0.78), 5(0.94), 7(0.80), 9(0.92), 11(0.77), 14(0.76), 15(0.87), 17(0.70), 19(0.98), 22(0.88), 23(0.92), 25(0.91), 27(0.90), 29(0.73), 31(0.89), 34(0.74), 36(0.80), 38(0.94), 40(0.76), 42(0.84), 44(0.79), 46(0.90), 48(0.96), 50(0.81), 52(0.75), 54(0.84), 56(0.78), 58(0.97), 60(0.80), 62(0.93), 64(0.99), 66(0.92), 68(0.80), 70(0.80), 72(0.77), 75(0.78)
T1543: 2(0.73), 3(0.87), 5(0.88), 7(0.80), 9(0.75), 11(0.95), 14(0.74), 15(0.75), 17(0.86), 19(0.98), 22(0.73), 23(0.94), 25(0.92), 27(0.92), 29(0.79), 31(0.84), 34(0.99), 36(0.73), 38(0.91), 40(0.98), 42(0.86), 44(0.91), 46(0.70), 48(0.86), 50(0.82), 52(0.93), 54(0.99), 56(0.87), 58(0.72), 60(0.87), 62(0.95), 64(0.78), 66(0.98), 68(0.83), 71(0.85), 72(0.87), 75(0.71)
